#date+time,051-pwl,051-surge,051-wsd,051-wdr
"03-01-2011 1212",0.923,-0.314,4.100,328
"03-01-2011 1218",0.932,-0.303,4.100,336
"03-01-2011 1224",0.930,-0.302,3.500,327
"03-01-2011 1230",0.932,-0.298,3.900,333
"03-01-2011 1236",0.916,-0.312,4.400,329
"03-01-2011 1242",0.914,-0.312,3.700,327
"03-01-2011 1248",0.919,-0.306,4.300,329
"03-01-2011 1254",0.918,-0.306,4.100,329
"03-01-2011 1300",0.917,-0.306,4.000,347
"03-01-2011 1306",0.913,-0.309,5.100,337
"03-01-2011 1312",0.918,-0.304,5.100,340
"03-01-2011 1318",0.929,-0.293,5.400,336
"03-01-2011 1324",0.925,-0.297,4.500,331
"03-01-2011 1330",0.927,-0.296,5.300,341
"03-01-2011 1336",0.929,-0.295,4.500,341
"03-01-2011 1342",0.930,-0.295,4.600,347
"03-01-2011 1348",0.939,-0.287,4.600,349
"03-01-2011 1354",0.932,-0.296,4.000,347
"03-01-2011 1400",0.933,-0.297,5.000,338
"03-01-2011 1406",0.935,-0.297,4.800,343
"03-01-2011 1412",0.934,-0.301,5.000,342
"03-01-2011 1418",0.940,-0.298,5.500,339
"03-01-2011 1424",0.934,-0.307,5.200,340
"03-01-2011 1430",0.942,-0.302,4.500,341
"03-01-2011 1436",0.951,-0.297,5.600,334
"03-01-2011 1442",0.957,-0.294,4.200,342
"03-01-2011 1448",0.966,-0.289,4.000,353
"03-01-2011 1454",0.973,-0.286,5.000,338
"03-01-2011 1500",0.977,-0.287,4.000,344
"03-01-2011 1506",0.978,-0.290,4.300,339
"03-01-2011 1512",0.991,-0.282,4.800,337
"03-01-2011 1518",1.004,-0.274,5.300,337
"03-01-2011 1524",1.026,-0.257,5.200,335
"03-01-2011 1530",1.040,-0.248,4.400,342
"03-01-2011 1536",1.051,-0.243,4.900,342
"03-01-2011 1542",1.057,-0.242,5.400,340
"03-01-2011 1548",1.064,-0.241,4.600,341
"03-01-2011 1554",1.066,-0.245,4.000,344
"03-01-2011 1600",1.073,-0.244,4.200,339
"03-01-2011 1606",1.074,-0.249,4.600,345
"03-01-2011 1612",1.086,-0.243,4.800,340
"03-01-2011 1618",1.097,-0.239,4.400,334
"03-01-2011 1624",1.110,-0.232,4.800,344
"03-01-2011 1630",1.118,-0.231,4.000,338
"03-01-2011 1636",1.126,-0.229,4.900,339
"03-01-2011 1642",1.139,-0.223,3.900,334
"03-01-2011 1648",1.158,-0.211,4.300,334
"03-01-2011 1654",1.172,-0.203,4.200,339
"03-01-2011 1700",1.174,-0.208,3.000,321
"03-01-2011 1706",1.179,-0.210,3.800,347
"03-01-2011 1712",1.182,-0.214,3.800,332
"03-01-2011 1718",1.187,-0.216,4.300,349
"03-01-2011 1724",1.193,-0.217,2.800,327
"03-01-2011 1730",1.198,-0.219,4.300,345
"03-01-2011 1736",1.198,-0.225,3.700,341
"03-01-2011 1742",1.206,-0.224,3.800,340
"03-01-2011 1748",1.217,-0.220,3.700,343
"03-01-2011 1754",1.226,-0.217,3.000,321
"03-01-2011 1800",1.237,-0.213,3.900,348
"03-01-2011 1806",1.248,-0.209,3.700,331
"03-01-2011 1812",1.259,-0.204,4.600,350
"03-01-2011 1818",1.263,-0.206,4.000,356
"03-01-2011 1824",1.272,-0.204,4.400,327
"03-01-2011 1830",1.281,-0.201,4.700,342
"03-01-2011 1836",1.287,-0.201,4.600,345
"03-01-2011 1842",1.290,-0.203,3.400,324
"03-01-2011 1848",1.294,-0.205,4.500,344
"03-01-2011 1854",1.295,-0.210,3.900,348
"03-01-2011 1900",1.294,-0.216,5.200,344
"03-01-2011 1906",1.297,-0.218,4.000,346
"03-01-2011 1912",1.305,-0.216,4.300,344
"03-01-2011 1918",1.310,-0.216,3.300,342
"03-01-2011 1924",1.319,-0.211,5.000,327
"03-01-2011 1930",1.324,-0.211,4.100,336
"03-01-2011 1936",1.327,-0.213,4.300,344
"03-01-2011 1942",1.333,-0.211,4.400,354
"03-01-2011 1948",1.342,-0.206,4.000,334
"03-01-2011 1954",1.348,-0.204,5.200,344
"03-01-2011 2000",1.353,-0.203,5.600,341
"03-01-2011 2006",1.357,-0.203,3.800,333
"03-01-2011 2012",1.364,-0.199,5.200,341
"03-01-2011 2018",1.375,-0.192,5.200,339
"03-01-2011 2024",1.378,-0.192,4.400,340
"03-01-2011 2030",1.378,-0.195,4.700,337
"03-01-2011 2036",1.379,-0.197,5.300,339
"03-01-2011 2042",1.381,-0.198,6.100,341
"03-01-2011 2048",1.386,-0.196,5.100,343
"03-01-2011 2054",1.388,-0.196,5.600,341
"03-01-2011 2100",1.390,-0.196,3.600,346
"03-01-2011 2106",1.393,-0.196,4.300,340
"03-01-2011 2112",1.395,-0.196,3.300,351
"03-01-2011 2118",1.395,-0.198,4.500,351
"03-01-2011 2124",1.395,-0.199,5.600,338
"03-01-2011 2130",1.401,-0.195,5.900,334
"03-01-2011 2136",1.407,-0.190,3.600,348
"03-01-2011 2142",1.411,-0.188,3.900,345
"03-01-2011 2148",1.416,-0.184,3.800,355
"03-01-2011 2154",1.420,-0.181,3.600,346
"03-01-2011 2200",1.424,-0.178,4.900,353
"03-01-2011 2206",1.424,-0.178,4.200,355
"03-01-2011 2212",1.429,-0.174,4.300,352
"03-01-2011 2218",1.434,-0.169,3.700,354
"03-01-2011 2224",1.434,-0.170,4.500,356
"03-01-2011 2230",1.434,-0.170,5.100,350
"03-01-2011 2236",1.431,-0.173,4.600,357
"03-01-2011 2242",1.430,-0.174,5.300,347
"03-01-2011 2248",1.428,-0.176,4.100,350
"03-01-2011 2254",1.432,-0.172,4.900,353
"03-01-2011 2300",1.433,-0.171,2.900,6
"03-01-2011 2306",1.437,-0.166,3.300,358
"03-01-2011 2312",1.434,-0.169,3.800,355
"03-01-2011 2318",1.436,-0.166,4.400,349
"03-01-2011 2324",1.436,-0.165,4.800,352
"03-01-2011 2330",1.437,-0.164,3.600,358
"03-01-2011 2336",1.440,-0.160,3.700,357
"03-01-2011 2342",1.441,-0.158,2.900,355
"03-01-2011 2348",1.444,-0.154,3.300,2
"03-01-2011 2354",1.447,-0.150,2.900,6
"03-02-2011 0000",1.450,-0.145,2.800,3
"03-02-2011 0006",1.450,-0.144,3.000,8
"03-02-2011 0012",1.448,-0.145,3.100,7
"03-02-2011 0018",1.450,-0.142,2.100,3
"03-02-2011 0024",1.448,-0.142,3.500,14
"03-02-2011 0030",1.449,-0.140,3.900,354
"03-02-2011 0036",1.447,-0.141,3.200,5
"03-02-2011 0042",1.445,-0.141,2.700,9
"03-02-2011 0048",1.449,-0.136,2.400,8
"03-02-2011 0054",1.445,-0.139,2.800,3
"03-02-2011 0100",1.448,-0.134,2.900,22
"03-02-2011 0106",1.446,-0.135,3.400,3
"03-02-2011 0112",1.446,-0.134,3.000,8
"03-02-2011 0118",1.449,-0.129,2.400,9
"03-02-2011 0124",1.453,-0.124,3.200,11
"03-02-2011 0130",1.456,-0.120,NA,NA
"03-02-2011 0136",1.451,-0.124,2.500,8
"03-02-2011 0142",1.449,-0.125,3.100,14
"03-02-2011 0148",1.443,-0.130,2.900,17
"03-02-2011 0154",1.445,-0.128,2.900,22
"03-02-2011 0200",1.448,-0.124,3.500,28
"03-02-2011 0206",1.446,-0.125,2.400,18
"03-02-2011 0212",1.444,-0.127,3.300,27
"03-02-2011 0218",1.444,-0.126,2.500,23
"03-02-2011 0224",1.449,-0.121,2.800,20
"03-02-2011 0230",1.446,-0.124,2.400,14
"03-02-2011 0236",1.445,-0.124,2.800,15
"03-02-2011 0242",1.449,-0.120,2.700,17
"03-02-2011 0248",1.454,-0.115,2.300,14
"03-02-2011 0254",1.458,-0.111,3.500,28
"03-02-2011 0300",1.456,-0.113,3.600,33
"03-02-2011 0306",1.462,-0.106,3.300,25
"03-02-2011 0312",1.464,-0.104,3.300,34
"03-02-2011 0318",1.474,-0.094,3.100,25
"03-02-2011 0324",1.473,-0.095,2.400,21
"03-02-2011 0330",1.472,-0.096,2.200,14
"03-02-2011 0336",1.473,-0.095,2.300,23
"03-02-2011 0342",1.474,-0.094,2.600,22
"03-02-2011 0348",1.470,-0.098,3.000,35
"03-02-2011 0354",1.469,-0.099,3.600,33
"03-02-2011 0400",1.472,-0.096,2.400,41
"03-02-2011 0406",1.466,-0.102,2.600,19
"03-02-2011 0412",1.466,-0.102,3.400,35
"03-02-2011 0418",1.465,-0.103,3.200,42
"03-02-2011 0424",1.466,-0.102,2.900,23
"03-02-2011 0430",1.467,-0.101,2.700,33
"03-02-2011 0436",1.461,-0.107,2.600,31
"03-02-2011 0442",1.453,-0.114,2.900,42
"03-02-2011 0448",1.452,-0.115,2.300,39
"03-02-2011 0454",1.449,-0.118,2.400,41
"03-02-2011 0500",1.454,-0.112,2.400,52
"03-02-2011 0506",1.458,-0.108,2.600,46
"03-02-2011 0512",1.459,-0.106,2.500,41
"03-02-2011 0518",1.457,-0.108,2.500,43
"03-02-2011 0524",1.459,-0.105,2.100,47
"03-02-2011 0530",1.464,-0.100,2.300,47
"03-02-2011 0536",1.463,-0.100,2.600,51
"03-02-2011 0542",1.468,-0.094,2.900,49
"03-02-2011 0548",1.474,-0.087,2.600,57
"03-02-2011 0554",1.477,-0.083,2.400,52
"03-02-2011 0600",1.475,-0.084,2.000,59
"03-02-2011 0606",1.472,-0.085,3.100,58
"03-02-2011 0612",1.472,-0.084,2.300,54
"03-02-2011 0618",1.475,-0.079,2.800,46
"03-02-2011 0624",1.475,-0.078,NA,NA
"03-02-2011 0630",1.478,-0.073,NA,NA
"03-02-2011 0636",1.479,-0.070,NA,NA
"03-02-2011 0642",1.477,-0.070,2.600,59
"03-02-2011 0648",1.479,-0.065,NA,NA
"03-02-2011 0654",1.478,-0.064,NA,NA
"03-02-2011 0700",1.477,-0.062,1.900,46
"03-02-2011 0706",1.471,-0.066,NA,NA
"03-02-2011 0712",1.473,-0.061,NA,NA
"03-02-2011 0718",1.464,-0.067,NA,NA
"03-02-2011 0724",1.463,-0.064,NA,NA
"03-02-2011 0730",1.459,-0.065,NA,NA
"03-02-2011 0736",1.454,-0.067,NA,NA
"03-02-2011 0742",1.451,-0.066,NA,NA
"03-02-2011 0748",1.443,-0.070,NA,NA
"03-02-2011 0754",1.434,-0.075,NA,NA
"03-02-2011 0800",1.431,-0.074,1.700,29
"03-02-2011 0806",1.428,-0.073,NA,NA
"03-02-2011 0812",1.428,-0.069,NA,NA
"03-02-2011 0818",1.421,-0.072,NA,NA
"03-02-2011 0824",1.420,-0.068,NA,NA
"03-02-2011 0830",1.415,-0.069,NA,NA
"03-02-2011 0836",1.410,-0.069,NA,NA
"03-02-2011 0842",1.407,-0.067,NA,NA
"03-02-2011 0848",1.403,-0.066,NA,NA
"03-02-2011 0854",1.396,-0.068,NA,NA
"03-02-2011 0900",1.392,-0.067,2.700,84
"03-02-2011 0906",1.384,-0.070,NA,NA
"03-02-2011 0912",1.378,-0.071,NA,NA
"03-02-2011 0918",1.365,-0.079,NA,NA
"03-02-2011 0924",1.351,-0.088,NA,NA
"03-02-2011 0930",1.338,-0.095,NA,NA
"03-02-2011 0936",1.332,-0.096,NA,NA
"03-02-2011 0942",1.327,-0.096,NA,NA
"03-02-2011 0948",1.323,-0.094,NA,NA
"03-02-2011 0954",1.317,-0.095,NA,NA
"03-02-2011 1000",1.308,-0.098,1.500,103
"03-02-2011 1006",1.304,-0.097,NA,NA
"03-02-2011 1012",1.296,-0.100,NA,NA
"03-02-2011 1018",1.290,-0.100,NA,NA
"03-02-2011 1024",1.289,-0.096,NA,NA
"03-02-2011 1030",1.283,-0.096,NA,NA
"03-02-2011 1036",1.276,-0.098,NA,NA
"03-02-2011 1042",1.265,-0.104,NA,NA
"03-02-2011 1048",1.258,-0.105,NA,NA
"03-02-2011 1054",1.252,-0.106,NA,NA
"03-02-2011 1100",1.247,-0.106,0.900,140
"03-02-2011 1106",1.239,-0.109,NA,NA
"03-02-2011 1112",1.230,-0.113,NA,NA
